abandon,v./n.放纵;v.放弃
nicety,n.准确，精确
nil,n.不存在，零
nip,n.少量;vi.小口吃喝
nitpick,v.吹毛求疵
nocturnal,adj.夜间的
noisome,adj.恶臭的;adj.非常令人厌恶的
nomad,adj./n. 游牧的；居无定所的人
nominal,adj.不重要的
nonchalant,adj.冷漠的
nondescript,adj.平凡的，不吸引人的
nonentity,n.不重要的人
nonplus,vt.使迷惑，使困窘
numinous,adj.神秘的，超自然的
notch,vt.通过努力获得
novel,adj.新奇的
noxious,adj.有害的，有毒的;adj.产生强烈厌恶的
nuance,n.细微的差异
nudge,vt.说服某人做某事
nugatory,adj.无关紧要的
nurture,vt.培育，培养
obtrusive,adj.扎眼的，难看显眼的
obdurate,adj.固执的;adj.冷酷无情的
obedient,adj.服从的，顺从的
obeisance,n.敬礼，尊重
obfuscate,vt.使困惑，使模糊
obligatory,adj.强制性的
obliging,adj.乐于助人的
oblique,adj.斜的
obliterate,vt.除去
oblivious,adj.不知道的，不知情的
obloquy,n.谩骂，诽谤
obscure,adj.含义模糊的;adj.平凡的，不知名的
obsequious,adj.谄媚的，奴性的
obsess,vt.迷住；使困扰
obstinate,adj.固执的
obstreperous,adj.不听话的，任性的
obstruct,vt.妨碍，给…制造困难
obtuse,adj.愚钝的
obviate,vt.排除，使不必要
occult,adj.难以理解的
odium,n.憎恶，讨厌
offbeat,adj.不平常的
offhand,adj.即兴的，没有准备的
officious,adj.多管闲事的
offish,adj.冷淡的
off-key,adj.不寻常的，不合适的
ominous,adj.凶兆的
omniscient,adj.无所不知的
onerous,adj.费时间花心思的
opaque,adj.晦涩的
opine,v.表达观点；想，认为
opportune,adj.合适的，适当的
opprobrious,adj.辱骂的;adj.臭名昭著的，令人鄙视的
outrageous,adj.过分的，难以容忍的;adj.极坏的，极可怕的
orient,vt.使确定方向，使熟悉或适应
original,adj.创新的;adj.最初的，最早的
orthodox,adj.传统的
oscillate,vt.犹豫，变化
ossify,v.（使）硬化，（使）僵化
ostentatious,adj.炫耀卖弄的
ostracize,vt.驱逐
oust,vt.驱逐
overweening,adj.傲慢的，专横的
outlandish,adj.古怪的，奇异的
outmaneuver,vt.以策略取胜
outset,n.开端，开始
outwit,vt.欺瞒，以智取胜
overbearing,adj.专横傲慢的
overlap,v.（与…）部分重叠
overt,adj.明显的，公开的
overture,n.前言;n.序曲
oxymoron,n.矛盾修饰法
pacify,vt.使平静，安慰
padding,n.夸张，废话
paean,n.欢乐颂，赞扬
painstaking,adj.煞费苦心的
palatable,adj.感到愉悦满足的
palatial,adj.宫殿般奢华的
pall,vi.失去兴趣
palliate,vt.平息，减轻
pallid,adj.无生气的，缺乏活力的;adj.苍白无血色的
palmy,adj.繁荣的
palpable,adj.明显的，易觉察的
palter,vi.欺骗；讨价还价
paltry,adj.无价值的，微不足道的
pan,vt./n. 严厉批评
panache,n.炫耀
pandemic,adj.大范围流行的
pandemonium,n.喧嚣，骚动
panegyric,n.赞颂之词，颂文
panoramic,adj.全景的
provenance,n.来源，起源
paradigm,n.典范，模范
paradise,n.快乐，狂喜
paradox,n.矛盾，悖论
paragon,n.优秀模范;vt.把…比作；显示相识
paramount,adj.最重要的
paranoid,adj.多疑的，对他人极端恐惧和怀疑的
paraphrase,v.转述，意译，改写
parch,v.炽，烤；烤干
parenthesis,n.间断
pariah,n.被排斥或鄙视的人
parity,n.相称，同等，平等
parody,n.（以嘲笑原作作者的）模仿作品，恶搞;v.模仿（以嘲弄）
paroxysm,n.（政治、社会领域的）大动荡
parrot,vt.（机械地）模仿，复制
parry,vt.躲避（问题）
parsimonious,n.过度节俭的，吝啬的
partial,adj.偏袒的，偏爱的;adj.部分的，不完整的
particularize,vt.详述
partisan,n.有偏见的人;adj.偏袒的
pastiche,n.（带嘲讽的）模仿;n.大杂烩
partition,n.分割，划分
patent,adj.显而易见的，明显的;n.专利
pathological,adj.不正常的，病态的
patina,n.外表;n.（由内而外散发的）氛围，气场
patrician,n.贵族，名门望族;adj.贵族的，地位高的
patriot,n.爱国者
patronize,vt.赞助；;vt.以高人一等的态度对待
paucity,n.少量，缺乏
province,n.职能范围
peck,n.大量;v.（不情愿地）小口咬
pedagogue,n.教育者，老师
pedant,n.书呆子，墨守成规之人
predestine,vt.预先注定
pedestrian,adj.平庸无奇的，令人厌倦的
peep,n.一瞥
peer,n.同等地位的人，同辈；;v.好奇地凝视
peeve,v.打扰，惹恼
pejorative,adj.轻蔑的，贬低的
pellucid,adj.清晰明确的，易懂的
plaintive,adj.悲伤的
polymath,n.学识渊博的人，博学者
penchant,n.嗜好，迷恋
penitent,adj.悔过的
pensive,adj.沉思的，（尤指）哀思的
penury,n.贫穷;n.吝啬，节俭
perambulate,v.徒步穿越，走过
perceptible,adj.可察觉的
peremptory,adj.不容反抗的;adj.傲慢的
parochial,adj.狭隘的
perfidy,n.不忠，背信弃义
perforate,v.打孔，穿透
perfunctory,adj.敷衍的，呵呵的
perimeter,n.边界，界限
periodical,adj.周期性的，有固定间隔的
peripatetic,adj.巡游的，四处游历的
peripheral,adj.辅助性的
perish,vi.死亡，消亡
permanent,adj.永恒的
permeable,adj.可渗透的
permeate,v.弥漫，渗透
pernicious,adj.有害的
patchwork,n./adj.混合物（的）
perpetual,adj.永恒的，不断的
persecute,v.迫害，折磨
persiflage,n.打趣
persistence,n.坚持，持续
personable,adj.风度翩翩的，吸引人的
perspicacious,adj.极敏锐的，有洞察力的
perspicuity,n.清晰明了
pertain,v.有关联
pertinacious,adj.顽固的，固执地坚持的
pertinent,adj.相关的，恰当的
penance,n.忏悔
peruse,v.细读
pervade,v.弥漫，充满
pessimistic,adj.悲观的
petition,n.请愿，正式的申请；申请书;v.（尤指正式地）请求
petrify,v.使僵化，使失去活力
petty,adj.细微的，不重要的
phenomenal,adj.不寻常的，非凡的
philanthropic,adj.博爱的，为他人着想的
philistine,n.市侩（注重物质而鄙视智慧或艺术的人）
phlegmatic,adj.冷静的，无感情的，淡漠的
piddling,adj.微不足道的
piebald,adj.混合的，杂糅而成的
pigment,n.颜料;v.给…上颜色
pilfer,v.偷窃
precocious,adj.早熟的
pillory,v.当众嘲弄
pilot,adj.初步的，试验性的;v.带领通过
pine,v.渴望，奢望
pinnacle,n.顶峰
pinpoint,adj.非常精确的;v.精确定位或确认
piquant,adj.令人振奋的
pique,v.激起，刺激
pirate,v.盗版，盗用
pithy,adj.精练的，简洁的
pitiless,adj.没有同情心的
pittance,n.少量津贴
placate,v.（通过让步以）平息抚慰
placebo,n.安慰性的事物
plagiarize,v.剽窃，抄袭
plangent,adj.凄凉的，哀伤的
plastic,adj.可塑的
plateau,n.高原;n.稳定时期，平台期
platitude,n.陈词滥调
plausible,adj.可信的
plague,n.瘟疫;v.折磨，使......痛苦
plethora,n.过量，过剩
pliable,adj.易弯曲的，柔软的;adj.易受影响的，温顺的
pliant,adj.易弯曲的;adj.顺从的
plight,n.困境
plodding,n.无聊的，单调乏味的
pluck,n.敢于面对困难的勇气
plumb,adj.完全的，绝对的；;v.仔细深入地检查；探索，探究
plummet,v.突然下降
plump,adj.丰满的;v.鼎力支持，赞不绝口
plunge,v.突然下降
polarize,v.使分开对立，使两极分化
polemic,n.争执
polished,adj.有教养的
politic,adj.合时宜的，明智的
polymath,n.博学者
pompous,adj.浮夸的;adj.傲慢的
ponderable,adj.值得考虑的，有价值的
ponderous,adj.沉重的
pontificate,v.傲慢地做或说
pore,v.仔细浏览，仔细研究
porous,adj.多孔可渗透的
portentous,adj.预兆性的，凶兆的
poseur,n.故作姿态、不真诚的人
posit,v.假定，断定
postulate,n.假定，假设;v.假定为真
posture,v.故作姿态，装模作样
potable,n.饮品，尤指有酒精饮料;adj.适于饮用的
potentate,n.有权势的人
potentiate,v.加强，激活
pout,v.（尤指撅嘴或板着脸）表示不悦
practitioner,n.职业人士
premium,adj. 高端的
prate,v.闲聊，空谈
preach,v.传道，布道
precarious,adj.危险的，不稳定的;adj.可疑的，不明确的
precedent,n.先例，前例;adj.先前的
ploy,n. 计策，手段
precipitate,adj.匆忙的;v.促使，导致
precipitation,n.仓促;n.沉积物，尤指降水
precipitous,adj.非常陡峭的;adj.匆忙的
preclude,v.预先阻止
precursor,n.先驱者，先导
predecessor,n.前任，先辈
predilection,n.爱好，偏袒
preeminent,adj.优秀的，重要的
preempt,v.预先占有
preen,v.打扮修饰
preface,n.序言
pregnant,adj.重要的，意味深长的
premeditate,v.预谋
preoccupation,n.非常关心，全神贯注
preponderant,adj.占优势的，更重要的
prepossessing,adj.给人好感的，有魅力的
preposterous,adj.荒谬的，不符合常理的
presage,n.征兆;v.预示，预言
prescience,n.预知，先见
prescription,n.处方;n. 规定，传统的规矩
primitive,adj. 原始的
prestige,n.声望，威望
presumptuous,adj.傲慢的
pretense,n.虚假，伪装;n.自大，优越感
preternatural,adj.超乎寻常的
prognosis,n. 预兆
prevalent,adj.流行的，普遍的
prevaricate,vi.支吾其词，撒谎
primordial,adj.原始的，最初的
primp,v.精心打扮
peddle,v.叫卖，兜售
pristine,adj.纯净的，质朴的，未被文明腐蚀的
privation,n.缺乏，穷困
probe,v./n.深入调查
probity,n.正直
proclivity,n.癖性，偏好
procrastinate,v.（因为懒散）拖延
procure,v.获得，取得
prod,v.促使…行动
prodigal,adj.挥霍的;n.败家子
prodigious,adj.巨大的;adj.惊人的，了不起的
profane,v.亵渎
proffer,v./n.献出，提供
proficient,adj.熟练的，精通的
profligate,adj./n.挥金如土的，挥霍的;n.败家子
pushover,n.容易做的工作
profusion,n.丰富，大量
prohibitive,adj.（价格高得）抑制购买的
proliferate,v.快速繁殖；激增
prolix,adj.啰嗦的，冗长的
prologue,n.序言
prolong,v.延长，拖延
promulgate,v.正式宣布
proofread,v.校对
propagate,v.传播，宣传
propensity,n.倾向，癖好
prophetic,adj.预言的，预示的
propitiate,v.抚慰，劝解
propitious,adj.吉祥的
proponent,n.建议者，支持者
propriety,n.适当，得体
prosaic,adj.单调的，常见的
proscribe,v.禁止，排斥
prosecution,n.实行，执行
proselytize,v.（使）改变信仰
prospect,v.探查，勘探
prosperous,adj.成功的，繁盛的
prostrate,adj./vt.平躺（的）/使平躺;adj./v.衰弱的/使衰竭
protean,adj.善变的；多才多艺的
protocol,n.正确的礼仪规范
protract,v.延长，拖长
protrude,v.突出
protuberant,adj.隆起的，凸出的
provident,adj.有远见的;adj.节俭的
providential,adj.天意的，幸运（的）
provincial,adj./n.狭隘（的）
provisional,adj.临时的
provisory,adj.有附带条件的；临时的
provoke,vt.激怒;vt.驱使，激起
prowess,n.英勇，勇敢
prowl,v.巡游以猎取食物；徘徊
prude,n.过分正经的人：一个过分关心自己是否得体、谦逊或正确的人
prudent,adj.明智的；;adj.小心谨慎的，审慎的
prudish,adj.过分守礼的
prune,vt.修剪；修整
pry,vi.刺探，打听
pseudonym,n.假名，笔名
putative,adj.推测的，假定的
pecuniary,adj.金钱上的
puckish,adj.淘气的，顽皮的
puerile,adj.幼稚的，不成熟的
puissance,n.权力
pulchritude,n.美丽
pulverize,vt.将…研磨成粉；将…彻底摧毁
permeate,v.弥漫，渗透
punctilious,adj.注意细节的，一丝不苟的
pundit,n.权威人士，专家
pungent,adj.辛辣的，讽刺的
puny,adj.微小的，弱小的
purport,v.声称，打算
purlieu,n.常去的地方;n.临近的地区
purloin,vt.偷窃
purvey,v.（大量）供给，供应
pusillanimous,adj.懦弱的，胆小得令人鄙视的
quack,n.骗子医生，江湖郎中
quaff,vt.大口地喝
quail,vi.胆怯，畏缩
qualify,vt.限定;vt.使有资格，使有能力
quandary,n.困惑，窘境
quarantine,n.隔离
qualm,n.担忧，不安
quash,vt.镇压，阻止
quirky,adj.古怪的，奇葩的
quell,vt.压制;vt.使平静，使安静
quench,vt.熄灭;vt.使满足
querulous,adj.抱怨的，爱发牢骚的
quibble,vi.吹毛求疵
quiescent,adj.平静的，静止的
quixotic,adj.不切实际的，空想的
quota,n.配额，限额
quotidian,adj.每日的；平凡的
rabble,n.混乱的人群；暴民；下层民众
rabid,adj.狂热的，不冷静的
racy,adj.活泼生动的
raffish,adj.低俗的
recapitulate,v./v.概括，摘要
rage,n./v.暴怒
ragged,adj.凹凸不平的，不光滑的
rail,vi.怒骂，猛烈抨击
rakish,adj.放荡的，行为不检点的
ramble,vi.漫谈；长篇大论（并经常离题）地说或写
rambunctious,adj.喧闹的，骚乱的
ramshackle,adj.摇摇欲坠的
rancor,n.敌意，深仇
random,adj.随机的，随意的
rankle,vt.激怒
rant,n.（尤指长时间的）训斥，责骂
rapacious,adj.过度贪婪的
rapport,n.和睦，友好
rapprochement,n.和睦，友好
rapscallion,n.流氓，恶棍
rapt,adj.狂喜的，狂热的
rarefy,vt.使稀薄
rash,adj.草率的，仓促的
raspy,adj.声音刺耳的
ratify,vt.（官方地）认可，批准
ratiocination,n.推理
ration,vt.按比例分配
rational,adj.理性的
rave,vi.狂热赞扬;vi.（发疯般地）怒吼
ravel,vt.解开，松开;vt.阐明;vt.使纠缠，使复杂化
ravish,vt.使陶醉，使沉迷
raze,vt.摧毁，粉碎
row,n.争吵，争执
reactionary,adj.反对变革的，极保守的
ream,vt.怒斥，训斥
ramification,n.影响，结果
reassure,vt.使安心，打消疑虑
rebuff,vt.严词拒绝
recalcitrant,adj.顽抗的，不顺从的
recant,vt.撤回，放弃，改变
recessive,adj.内向的，内敛的
recidivate,vi.回到原先的习惯，尤指重新犯罪
reciprocate,vt.报答，回报
reckless,adj.不考虑后果的，大胆鲁莽的
recluse,n.隐士/adj.隐居的，不爱社交的
recoil,vi.退却，畏缩
reconcile,vt.使和解，协调
recondite,adj.深奥的，难解的
reconnoiter,vt.侦察，勘查
reconstitute,vt.重建，（尤其是通过加水）使复原
repentant,adj.悔过的
rectitude,n.正直
recumbent,adj.躺着的
recuperate,v.恢复（健康或力量），康复
redolent,adj.芳香的
redoubtable,adj.杰出的，值得尊敬的；;adj.可怕的
redundant,adj.多余的，冗余的
reel,vi.感到眩晕
referee,n.仲裁者；裁判员/vt.（就纠纷或争议）给出意见
refine,vt.改善，改进
reflect,vt.反映，显露;vi.思考
refractory,adj.倔强的，不顺从的
refulgent,adj.辉煌的，灿烂的
refute,vt.否认
regenerate,vt.使重获新生，使焕然一新
regimen,n.（政治上的）统治
regress,vi.后退；;vi.退化，恶化
rehabilitate,vt.使复原，使康复
rehearsal,n.排练，彩排
reign,n.统治权/vi.占统治地位或盛行
rein,n.抑制，限制/vi.抑制，控制
reiterate,v.重申
rejoice,vi.欣喜，喜悦
relapse,vi.重蹈覆辙，再犯
rehash,v.重复，老调重弹
relentless,adj.残酷的，无情的；;adj.固执的，不肯妥协的
relevant,adj.有关系的，重要的
reminiscent,adj.怀旧的，引发回忆的
relinquish,vt.放弃（职位、权力等）
relish,n.喜好，偏好/vt.享受，喜欢
reluctant,adj.不情愿的，反感的
remiss,adj.疏忽的，不留心的
resent,v.怨恨，憎恨
remonstrance,n.抗议，抱怨
remorse,n.懊悔，悔恨
remunerate,vt.支付报酬，补偿
rend,vt.撕裂，猛拉
renegade,n.背教者，叛徒
renounce,vt.（正式地）放弃
renovate,vt.修复，维修
repartee,n.打趣，善意的玩笑
repatriate,vt.遣返
repeal,vt.撤销，废除（法律等）
repel,vt.使厌恶
repertoire,n.（技术、设备或原料等的）详单
repine,vi.抱怨，表达不满；;vi.渴望
replete,adj.充满……的，富于……的
repose,n.（劳作后的）休息/vi.休息;n.平静，宁静
reprehend,vt.谴责，责难，批评
repress,vt.镇压；;vt.阻止（正常的表达、活动或发展等）
reprieve,vt.对…暂缓处刑，免罪
reproach,vt.批评，责备
reprobate,n.堕落者，道德败坏的人/adj.堕落的，放荡的
reproof,n.批评，反对
reprove,vt.温和地责备，警告
repudiate,vt.否认
repugnant,adj.令人厌恶的
repulse,vt.使厌恶，排斥
repute,n.（尤指好的）名声，名誉
requite,vt.酬谢，报答；;vt.报仇
requisite,n.必需品/adj.必不可少的，必备的
rescind,vt.废除，取消
reserved,adj.内向的，缄默的
residue,n.剩余物
resign,vt.辞职，放弃（职位）
resilience,n.恢复能力
resolute,adj.坚定的
resonant,adj.（声音）洪亮的，共鸣的
resourceful,adj.有创造力的，机智的
respite,n.间歇，休息
retroactive,adj.有追溯效力的
resplendent,adj.华丽辉煌的
responsive,adj.反应的；敏感的
restive,adj.急躁的，忧虑的
restless,adj.不平静的
revelation,n.爆料，揭示
resurgence,n.复兴
resuscitate,vt.使复活，使苏醒
retainer,n.家仆
retaliate,v.报复，反击
retard,vt.减速，延迟
repetitious,adj.重复的，反复的
reticent,adj.沉默不语的
retort,n.（尤指机智的）回应，回答
retouch,v.润饰，改进
retract,vt.收回，否认
retrench,vi.削减开支
retribution,n.报偿，报应
retrograde,adj.倒退的/vi.退步，退化
retrospective,adj.回顾的
revel,v.享乐，陶醉
revenge,n.报复，复仇/vt.为…复仇
revere,vt.（尤指对神的）尊崇，尊敬
resonate,v.有重要性
revive,vi.再获新生
revoke,vt.撤回，宣告无效
revolt,vt.使厌恶，使反感；;vi.反叛
ribald,adj.（举止、言语）下流粗俗的
rickety,adj.不稳的
restorative,adj.有益健康的
ridicule,vt.嘲笑
rife,adj.丰富的，普遍的
rift,n.分裂，不和
rile,vt.刺激，惹怒
ripen,v.使成熟，变成熟
riot,n.喧闹，暴乱
rite,n.惯例，仪式
rive,v.撕开
riveting,adj.吸引人的，极迷人的
renaissance,n.复兴
robust,adj.精力充沛的；强壮的，健康的
roil,vt.激怒
rosy,adj.乐观的
rookie,n.新兵；新手；菜鸟
rote,n.死记硬背
rationale,n.基本原理，解释
rouse,vt.激起，煽动;vt.唤醒
royalty,n.皇家身份;n.版税；专利权税
rubicund,adj.红润的，健康的
rudimentary,adj.初始的，未发展的;adj.最根本的，基础的
rue,n.后悔，遗憾
ruffle,vt.使粗糙;vt.扰乱，打扰
ruminate,v.反复思考
rumple,vt.打乱，使不整齐
revision,n.修订
runic,adj.神秘的
rupture,v.打破；打碎，破裂
ruse,n.诡计
rustic,n.乡下人；头脑简单的人;adj.乡村的;adj.粗俗的
rustle,vi.快速地行动
sabotage,n.妨害，破坏;vt.从事破坏活动
saccharine,adj.像糖一样的，有甜味的;adj.做作的，矫情的
sacrilege,n.亵渎圣物
saddle,vt.使某人有负担
safeguard,n.保护措施;vt.保护
sage,智者
salient,adj.显著的，最突出的
salubrious,adj.有益健康的
salutary,adj.有益健康的;adj.有利的，利好的
salutation,n.赞扬
salvage,vt.（从灾难中）抢救
salve,v.减轻，缓解
sanctify,vt.使神圣，将…敬为神
sanctimonious,adj.假装虔诚的
sanction,vt.批准，同意，认可
sanctuary,n.避难所
showcase,vt.展示（优点）
sanguine,adj.乐观的，确信的
sanitary,adj.健康的，清洁的
sap,vt.削弱;n.健康，活力
sapient,adj.聪明的，有洞察力的
sarcasm,n.讽刺，轻蔑
sartorial,adj.裁缝匠的，裁缝的
sate,vt.使饱足，充分满足
satiate,vt./adj.（使）饱足（的），过分满足（的）
scandalous,adj.引起反感的，丢脸的
satirize,vt.讽刺
saturate,vt./adj.使饱和，浸透
saturnine,adj.忧郁的，阴沉的
saunter,vi.闲逛，漫步
savant,n.博学之士，学者
savory,adj.令人愉悦的
savvy,n.老练，机智;adj.有见识的，精明能干的
scads,n.许多，大量
scant,adj.不足的，缺乏的
scathing,adj.尖酸刻薄的
schism,n.不一致
scintillate,vi.闪耀
seditious,adj.煽动性的，意在制造混乱的
scission,n.切断，分离，分裂
scoff,v.嘲笑
scorch,v.炙烤，烘干
scorn,vt.轻蔑，鄙视，不屑
scotch,vt.停止
scour,vt.搜查
scowl,vi.皱眉（表现出不高兴）
scrappy,adj.好斗的，好吵架的
scrap,vt.抛弃
scrawl,vt.乱涂，潦草地写
scribble,v.潦草地书写，乱写
scrupulous,adj.正直的;adj.一丝不苟的
scrutable,adj.可以理解的
scrutinize,vt.仔细检查
scuff,v.（使）磨损
scurrilous,adj.说粗话的
scurvy,adj.下流的，让人鄙视的
seamy,adj.肮脏的，堕落的
secluded,adj.僻静的，隐蔽的
secrete,vt.隐藏;vt.分泌
sedate,adj.淡定的，安静地
sedentary,adj.固定不动的
seduce,vt.劝说（使不忠，使不顺从），诱…误入歧途
sedulous,adj.勤奋认真的
seemly,adv.得体的，遵守礼节的
segment,vt./n. 分割；部分
self-abasement,n.自卑，自谦
self-absorbed,adj.自恋的，自私的
seminal,adj.创新的
sensation,n.轰动事件
sift,v.审查
showmanship,n.擅长表演、展示的技巧
sepulchral,adj.阴沉的；丧葬的
septic,adj.腐败的，感染的
sequela,n.结果
sequester,vt.使隔绝，分离
sere,adj.干枯的，凋萎的
serendipity,n.意外发现珍奇（或称心）事物的本领
serene,adj.安静的
sermon,n.布道，说教
serpentine,adj.弯曲的
self-defeating,adj.适得其反的，自我拆台的
serried,adj.密集的
servile,adj.低下的，卑屈的
shifty,adj.（显得）狡诈的，（显得）欺诈的
shackle,vt.束缚;vt.限制，阻碍
shadow,vt.偷偷尾随;v.遮蔽，（使）变暗
sham,v.掩饰，假装;adj.虚假的
stale,adj.陈旧乏味的
shiftless,adj.胸无大志的，懒惰的
shipshape,adj.井然有序的
shirk,v.逃避，规避
shoal,adj.浅的
shopworn,adj.陈旧的
shred,n.少量
shrewd,adj.精明的，机敏的
shrink,vi.（在数量或价值方面）降低，减少
shroud,vt.将…从视线中隔离，遮蔽
shrug,vt.轻视，忽略
shun,vt.避开，避免
sidestep,vt.（通过逃避而）不遵守
signal,adj.（在重要性、成就方面）非同寻常;v.给出信号
simpleton,n.（缺乏常识的）笨蛋
simulate,vt.假装，模仿
self-perpetuating,adj.自续的，能使自身永久存在的
sensuality,n.感官享乐
sinecure,n.拿钱不干事的职务；闲差事
sinew,n.活力，力量
singe,vt.轻微烧焦
sinuous,adj.蜿蜒的，迂回的
snag,n.障碍
sacrosanct,adj.极为神圣的，不可侵犯的
scourge,n.祸害
skimp,adj.缺乏的，不足的;vi.节省花费，吝啬
scruple,n.（良心上的）不安
skirt,vt.绕行，避开
slack,adj.松弛的;adj.疏忽的，大意的
slake,vt.使满足
slant,n.（看待问题、思考的）角度，看法;adj.倾斜的
slate,vt.列入名单，计划，安排
slew,n.大量，许多
slight,adj.不重要的;vt.轻蔑，看不起;vt.忽略，疏忽
sling,vt.投掷
slippery,adj.光滑的;adj.意义不明确的
slipshod,adj.粗心的，随意的
sloppy,adj.邋遢的，不整洁的;adj.混乱的
sloth,n.怠惰，懒惰
slouch,vt.缓慢行走
slovenly,adj.邋遢的，不整洁的
sluggard,n.懒人
sluggish,adj.缓慢的，迟缓的
slumber,vi.睡着
slur,n.耻辱;vt.疏忽，忽略
sly,adj.狡猾的
smarmy,adj.虚情假意的，过分恭维的
skullduggery,n.欺诈，诡计
smattering,n.少量
smirk,vi.（自鸣得意地）笑
smother,vt.抑制（表达、说出），压制
smug,adj.自大的，自鸣得意的
smuggling,n.走私，私运
snare,n.无法逃脱的困境;vt.捕捉
snarl,v.纠缠，纠结
sneer,vt.（轻蔑地）嘲笑
snobbish,adj.谄上傲下的，自大的
snub,vt.轻视，不理睬
soak,vt.使…湿透
sober,adj.严肃的;adj.节制的
sodden,adj.湿透的;vt.使…湿透
solace,n.安慰;vt.安慰，安抚
solder,v.连接，联合
solemnity,n.庄严，严肃
solicitous,adj.为他人操心的，体谅他人的
solid,adj.有理有据的
soliloquy,n.（尤指自言自语的）独白
solitude,n.孤独，避世
solvent,adj.有偿付能力的;n.溶剂
somatic,adj.肉体的
somber,adj.悲伤的，不愉快的
somnolence,n.瞌睡，嗜睡
slapdash,adj.马虎的
soothe,vt.带来慰藉，安慰
sop,n.安慰物;vt.浸湿，湿透
sophism,n.假推理，诡辩
sophisticated,adj.精明的，老于世故的;adj.复杂的
soporific,n.催眠的药剂，安眠药;adj.催眠的
sordid,adj.肮脏的，不干净的;adj.卑鄙的
sound,adj.牢固的，不可动摇的;adj.健康的，强壮的;adj.（逻辑上）严谨的
sparse,adj.稀疏的，稀少的
spartan,adj.简朴的，节约的
spat,n.（小的）争吵
spate,n.大量
sleek,adj.时髦的，优美的
specious,adj.似是而非的，欺骗性的
speck,n.小点，少量
spectator,n.观众，目击者，旁观者
spectrum,n.光谱；范围，系列
speculate,v.推测，揣测
spendthrift,n.挥霍着，败家子;adj.挥霍的，不节俭的
spent,adj. 精疲力竭的;adj. 用废的
slump,n./v/ 暴跌，急剧下降
spiny,adj. 棘手的，麻烦的
spleen,n. 怒气，怨恨
splice,vt. 接合，叠接
spontaneous,adj. 自发的，不经思索的
spoof,n. 轻松幽默的模仿，小恶搞
sporadic,adj. 断断续续的
sprawl,v. 杂乱无序地发展，蔓生，蔓延
sprightly,adj. 活泼的，充满活力的
spur,n. 刺激物;vt. 刺激，激励
spurious,adj. 假的，伪造的
spurn,vt. 摈弃，拒绝
sanity,n. 心智健全，神智正常
squalid,adj. 污秽的，肮脏的
squall,v. 尖叫
squander,vt. 浪费
squat,adj. 又矮又胖的
soft-pedal,v. 降低…的力度
squelch,vt. 压制，镇压（运动）
secede,vi. 脱离，退出（组织，团体，联盟等）
stalwart,adj. 坚定的
stamina,n. 耐力
stammer,vi. 口吃，结巴
startle,vt. 使吓一跳，使大吃一惊
static,adj. 静态的，停滞的
stature,n. 高度，身高;n. 才干，水平
steadfast,adj. 坚定的，忠诚的
stealth,adj. 秘密的
steep,adj. 陡峭的;adj. 过分的，过高的
stench,n. 臭气，恶臭
stentorian,adj. 声音洪亮的
sterile,adj. 贫瘠的;adj. 无菌的
stickler,n. 坚持细节的人，一丝不苟的人
stiff,adj. 僵硬的，无法弯曲的;adj. 艰苦的，费力的
stifle,vt. 抑制（声音、呼吸等）；阻止，扼杀
stigma,n. 耻辱，污名
stint,vi. 吝惜，节省
stingy,adj. 小气的，吝啬的
sequel,n. 结果
stipulate,v. 规定，特定要求
stitch,n. 突然剧痛
stock,adj. 普通的，常备的
sectarian,adj. 狭隘的
stodgy,adj. 平庸的，乏味的
stoke,vt. 增大，促进
stoic,adj. 隐忍的，冷静的
stolid,adj. 无动于衷的，感情麻木的
stomach,vt. 容忍
stonewall,v. 拒绝（合作），阻挠
stouthearted,adj. 勇敢的
stratagem,n. 谋略，策略
sonorous,adj. 声音洪亮的
strand,vt. 遗弃，使置于困境
stratify,vt. 讲…分成各种等级
stray,adj. 漫无目的的
strenuous,adj. 有活力的;adj. 艰苦的，费力的
striate,vt. 加条纹
stricture,n. 责难，批评
soothsayer,n. 预言家
strident,adj. 刺耳的
strike,n. 攻击;vt. 击打;vt. 袭击，攻击;vt. 撞击
stringent,adj. 严格的
strip,vt. 脱衣，剥去
strut,vi. 趾高气扬地走
spike,v. 激励
stultify,vt. 使无效，抑制
stupor,n.迟钝，麻痹，无知觉
stunt,vt. 阻碍（成长）
sturdy,adj. 强健的，结实的
stygian,adj. 极其暗的
stymie,vt. 阻碍
subdue,vt. 使顺从，征服
subject,adj. 取决于（其他因素的），受制于
subjugate,vt. 征服，镇压
sublime,adj. 崇高的，庄严的
subliminal,adj. 下意识的，潜在意识的
submerge,vt. 使淹没
submissive,adj.服从的，顺从的，恭顺的
subordinate,adj. 下级的；次要的;vt. 征服
subservient,adj.奉承的，屈从的
subside,vi. 下陷，下沉，减弱
subsidiary,adj. 次要的
subsidy,n. 补助金，津贴
substantial,adj. 有重大意义的
substantiate,vt. 证实
substantive,adj. 本质的，关键的
subterfuge,n. 诡计
subtle,adj. 微妙的，难以感知的
subvert,vt. 颠覆
succinct,adj. 简明的，简洁的
succor,vt. 救援，援助
suffocate,vt. 使窒息
suffuse,vt. （色彩等）弥漫，染遍，充满
sulk,vi. 生气，愠怒
sullen,adj. 闷闷不乐的
secular,adj.世俗的，尘世的
summit,n. 顶点
summon,vt. 召集，召唤
sumptuous,adj. 豪华的，奢侈的
sunder,vt. 分裂，分离
